key,en,fr,es
PLAY,Play,Jouer,Jugar
QUIT,Quit,Quitter,Salir
RETURN,Return,Retour,Atras
OPTIONS,Options,Options,Opciones
SAVE,Save,Sauvegarder,Guardar
BRIGHTNESS,Brightness,Luminosité,Brillo
CONTRAST,Contrast,Contraste,Contraste
LANGUAGE,Language,Langage,Lenguaje
MUSIC,Music,Musique,Musica
DISPLAY,Display,Affichage,Visualización
ACCESIBILITY,Accesibility,Accesibilité,Accesibilidad
TIMESCALE,Time Scale,Délai du Temps,Escala de Tiempo
FONTSIZE,Font Size, Taille de Police,Tamaño de texto
VFXSTRENGTH,VFX Strenght,Force VFX,Fuerza VFX
